,text_lower
204,"b""@kevsilverfox hi kevin, sorry it doesn't look like that's been picked up. bear with me i'll pop in and reply now. thanks nikki"""
205,b'@mattatk81372204 it would be matt. thanks nikki'
206,"b""@d_griffiths96 we're dealing with so many disputes at the moment that we're taking a little bit longer than usual t\xe2\x80\xa6 https://t.co/ufmqr2sasz"""
207,"b""@d_griffiths96 we're dealing with so many disputes at the moment that we're taking a little bit longer than usual t\xe2\x80\xa6 https://t.co/qhdsxkqa9n"""
208,b'rt @barclaysuk: we\xe2\x80\x99ve kick-started our donation with \xc2\xa31 million and we\xe2\x80\x99ll match your donation penny-for-penny and pound-for-pound through o\xe2\x80\xa6'
209,"b'@stulcfc hi there, i can help you get a new card ordered if you send me a dm with your name, postcode and phone number? thanks, cass'"
210,"b""@missusgt hi there, ashleigh. sorry for the delay getting back to you, i hope you're keeping well. i appreciate the\xe2\x80\xa6 https://t.co/8rcnpkztcz"""
211,"b'@mattatk81372204 hey matt, it can take up to five working days to process a credit balance refund. thanks, cass'"
212,"b""@bikerbabe108sc1 hi there, there's a form you can complete to request a credit balance refund: https://t.co/60fqqbnolj thanks, cass"""
213,"b'@amcshane123 hi ashley, if the application was completed online then we would have received that but due to the num\xe2\x80\xa6 https://t.co/wovrukdd0u'"
214,"b""@propel2steve i understand. we're here 24/7 and will get back to you as soon as we can. lisa"""
215,"b""@_aam1r hi there, sorry for the delay. our telephone teams are really busy at the moment, they're working extremely\xe2\x80\xa6 https://t.co/nsnzou3wxb"""
216,"b""@michael98859819 hi michael, sorry for the delay. our telephone teams are really busy at the moment, they're workin\xe2\x80\xa6 https://t.co/anitmdgeje"""
217,"b""@mspill01 hi marie, are you able to log into your account online? if so you can send a secure message and we'll get\xe2\x80\xa6 https://t.co/gn0bzcz07w"""
218,"b""@lt_bowen sorry we couldn't help you further through here, lee. give us a shout if we could help with anything else though \xf0\x9f\x98\x8a rach"""
219,"b""@bhavna68681162 with the global restrictions in place, some of our teams aren't available while others are function\xe2\x80\xa6 https://t.co/i8gmuljr2e"""
220,"b""@fiona2608 hi fiona, sorry for the wait, can i ask the reason you're trying to get in touch please? i'll see how we\xe2\x80\xa6 https://t.co/j0zuzekivg"""
221,"b'@sophiakhan11k hi sophie, i am sorry that you have been on hold for so long, if you wish to raise a complaint i can\xe2\x80\xa6 https://t.co/tdxfdqfh6n'"
222,"b""@tallybookbinder hi there, sorry for the long wait but it's great to hear you got through to one of our amazing mem\xe2\x80\xa6 https://t.co/bov332mjth"""
223,b'@annettehenders2 thanks for letting us know.  ross'
224,"b""@stormtrooper73 hey gordon, with the global situation, we're busier than usual and need to take staff health into c\xe2\x80\xa6 https://t.co/hpqd2npzuy"""
225,"b'@lobsta28 fantastic news, thanks for letting us know. give us a shout if you need anything else. lisa'"
226,"b'@mikeyreynolds01 which form online have they advised you to compete? also, have you been able to fill it out and submit it okay? rach'"
227,"b""@rugby_bears hi there, i'm sorry to hear that. i hope you managed to speak with someone, if not please let me know\xe2\x80\xa6 https://t.co/c6ijmisz2y"""
228,"b""@bingman1 hi richard, sorry for the delay. our telephone teams are really busy at the moment, they're working hard\xe2\x80\xa6 https://t.co/lcvrjyufwm"""
229,"b""@emilyoflanagan hi emily, we're working through a lot of applications at the moment and will be in touch as soon as we can. lisa"""
230,b'@biggsricola sorry to hear that. is this a debit or credit card? also can i just check your account is in the uk? lisa'
231,"b""@markrowney hi mark, with the global restrictions in place some of our teams aren't available while others are func\xe2\x80\xa6 https://t.co/s60vtwaa8m"""
232,"b""@one_ed_young hi there, sorry for your wait, did you get to speak with the team? if not can i ask if you're able to\xe2\x80\xa6 https://t.co/gawteldpfz"""
233,"b""@itshoda hi there, i'm sorry for the wait, did you manage to speak with the team? if not can you let me know the re\xe2\x80\xa6 https://t.co/pg3dijy7wt"""
234,"b""@mospafc hey matt, sorry for the wait, we're receiving a lot more calls and messages at the moment too. can i ask t\xe2\x80\xa6 https://t.co/5fto1gdkrs"""
235,"b""@david_scarlett hey david sorry for the wait, we're got a lot of customers urgently needing help at the moment and\xe2\x80\xa6 https://t.co/iqmhqfnrnz"""
236,"b'@darrel76 hello darrel, sorry for the late reply and wait times you experienced.  please come over to dm where the\xe2\x80\xa6 https://t.co/cfafnhzto0'"
237,"b""@ladymar27418394 hi there, sorry for the delay. there's a few different ways you can make a payment, you can view t\xe2\x80\xa6 https://t.co/biixvidv1i"""
238,"b""@reema_ahmed_12 hi there, sorry for the delay. i've replied to the dm you've sent us to help further. steven b"""
239,"b""@shellywilde @fugeoffugehall ah right, pending payments will still leave once a card is cancelled, but we'll includ\xe2\x80\xa6 https://t.co/w8tbcbaxmr"""
240,"b""@propel2steve hi steve, sorry for the delay. it's not great to see that you haven't been able to speak to someone y\xe2\x80\xa6 https://t.co/xpgoyyssyu"""
241,"b'@miss_masaya hi there, sorry for the delay in my reply and for the wait to speak with us over the phone. did you ma\xe2\x80\xa6 https://t.co/woyowdwps5'"
242,"b'@mikiuk ah, ok. if a refund is sent to a cancelled card it would usually bounce back. have you spoken with the comp\xe2\x80\xa6 https://t.co/htnst0ogqu'"
243,"b""@cfeefc0 thanks for confirming that. if you send a secure message in your online account it'll save you waiting on\xe2\x80\xa6 https://t.co/krex6fvdt2"""
244,"b""@piekin1981 hi simone, we can certainly look to help. can i ask if you're able to log into your account online? you\xe2\x80\xa6 https://t.co/z2zy4zzqez"""
245,"b""@arianaspawn thanks arians, i've responded now. -kev"""
246,b'@jess_fulford \xe2\x80\xa2have no letters repeated more than 2 times in a row (e.g. shooop)\n\xe2\x80\xa2have no more than 2 letters in tu\xe2\x80\xa6 https://t.co/3pkkiziihs'
247,"b'@i_w____ hello there, the teams are working as fast as they can to get this done.  with you doing it on sunday, ple\xe2\x80\xa6 https://t.co/hhrr8wps0d'"
248,b'@jess_fulford tips for setting your memorable word:\nyour memorable word must:\n\xe2\x80\xa2contain 6-8 letters\n\xe2\x80\xa2contain only letters a-z\n3/4'
249,b'@jess_fulford tips for setting your passcode:\n\nyour passcode must be:\n\xe2\x80\xa26 numbers long\n\xe2\x80\xa2contain numbers only\n\xe2\x80\xa2have n\xe2\x80\xa6 https://t.co/imtibci9wa'
250,"b'@jess_fulford if you can clear your cache and cookies and retry, but pay close attention to the details below when\xe2\x80\xa6 https://t.co/oddoeui0ti'"
251,"b""@cocksy81 i am sorry this way hasn't been working for you.  please print this form on the pdf below, and follow the\xe2\x80\xa6 https://t.co/4lwx20ftyi"""
252,"b'@mattjmarsh hi matthew, sorry for the wait. did you send a secure message via online banking? if so the team are wo\xe2\x80\xa6 https://t.co/uyn9obg5rc'"
253,"b""@cocksy81 i can see we're working through this with you there. we'll pick this up as soon as possible. -kev"""
254,"b'@mikiuk hi michele, could the refund have credited before the account was closed or was it sent to the card after y\xe2\x80\xa6 https://t.co/ph6shd93d6'"
255,"b""@kimmykimeleon perfect, i've responded now. -kev"""
256,"b""@incrediblebraig hi there, sorry for the delay in my reply and for the issues you've had online. this message is gi\xe2\x80\xa6 https://t.co/z9imgzm5ug"""
257,"b""@cfeefc0 hi elle, sorry for the wait, we're a lot busier than usual. can i ask how and when you raised the case wit\xe2\x80\xa6 https://t.co/eyqdbcir5l"""
258,"b'@marinaatconduit no worries, marina. kristos'"
259,"b'@jadeshort82 hi there, jade. we have fewer colleagues than usual answering the phones right now because of the coro\xe2\x80\xa6 https://t.co/ejmw95pudr'"
260,"b""@mo_3009 hi mohammed, hope you're well! thanks for your patience - it's difficult with reduced staff and an increas\xe2\x80\xa6 https://t.co/agbd4brpk1"""
261,b'@jmrodda great! thanks for letting us know. take care. -amiee'
262,"b""@jake7000 hey jake, i'm so sorry about the call disconnecting after such a long time on hold! is it us here at barc\xe2\x80\xa6 https://t.co/2pbwmlmwpn"""
263,"b'@aliciagturrell hi alicia, you can reset your details online. if you select the option to do this then can clear yo\xe2\x80\xa6 https://t.co/a2xjnbaeqz'"
264,"b""@bacardiboozer hi katie, i'm sorry for the delay in getting back to you! what is it you need help with? i'll see ho\xe2\x80\xa6 https://t.co/zcubsvtifr"""
265,"b""@lt_bowen i'm pleased this has been returned to your account and i'm sorry that you had to wait a while to speak wi\xe2\x80\xa6 https://t.co/lcsfkmdj30"""
266,"b""@missshep1 hi sarah, thanks for getting in touch. i hope you're well and staying safe :) this is not our usual call\xe2\x80\xa6 https://t.co/p5u9udohcl"""
267,"b""@swisstoniuk i would imagine this would be in place by next month if you've already been waiting some time. the tea\xe2\x80\xa6 https://t.co/1xgtqijkjp"""
268,"b""@weddingsinger76 hey there, apologies for your wait, i hope you're keeping well.  have you been able to get through\xe2\x80\xa6 https://t.co/eqtrlw4g56"""
269,"b""@10dawson hey connor, apologies for your wait, i hope you're keeping well. have you been able to get in touch with\xe2\x80\xa6 https://t.co/opxk5qckvk"""
270,"b""@sharloney hi there. sorry for the delay. i can't say what the outcome would be from my position but you can make a\xe2\x80\xa6 https://t.co/0eq2soz2gi"""
271,"b'@coombem1978 okay, thanks for letting me know. could you please pop over to dm for me with your full name and postcode? sarah'"
272,"b'@abdelbigmac i do apologise that the line was cut off. have you managed to speak with anyone yet? if not, what was\xe2\x80\xa6 https://t.co/cduc9tvhpd'"
273,"b'@abdelbigmac hi karen, all of our teams are extremely busy as we have a reduced number of staff and more customers\xe2\x80\xa6 https://t.co/3u9rkrjm1h'"
274,"b""@colinmeredith52 hi colin, sorry for any problems caused. if you still need help please send me a dm and i'll be ha\xe2\x80\xa6 https://t.co/plfwur4mri"""
275,b'@diverbjj i am sorry you had been waiting a long time on the phone. \nhave you managed to speak with anyone yet? if\xe2\x80\xa6 https://t.co/4oiucnquoj'
276,"b""@diverbjj hi, we're extremely busy due to reduced staff and more customers contacting us. \nwe're doing everything w\xe2\x80\xa6 https://t.co/e36mkfmym4"""
277,"b'if a refund or overpayment has left you in credit on your barclaycard, you can request to transfer this to your uk\xe2\x80\xa6 https://t.co/ampgtj7abi'"
278,"b'@mikeyreynolds01 i do apologise you had to hang up. have you managed to speak with anyone yet? if not, what was you\xe2\x80\xa6 https://t.co/09lupjo4vw'"
279,"b'@mikeyreynolds01 hi mike, all of our teams are extremely busy as we have a reduced number of staff and more custome\xe2\x80\xa6 https://t.co/a2jcxjumia'"
280,b'@mrsfeblackmore brilliant! thanks for letting us know. take care. amiee'
281,"b""@st03_steve hey steve, sorry for your long wait, i hope you're keeping well. did you manage to get through to the t\xe2\x80\xa6 https://t.co/3r7tj1uzm8"""
282,"b""@biggsricola hey there, sorry for your long wait, i hope you're keeping well. have you been able to get a new card\xe2\x80\xa6 https://t.co/amky54gfws"""
283,"b""@writtenmirror hey jay, sorry for your long wait, i hope you're keeping well. can you explain your message in more\xe2\x80\xa6 https://t.co/olzuufiujx"""
284,"b""@lobsta28 hey there, sorry for your long wait, i hope you're keeping well. did you manage to speak with the team? i\xe2\x80\xa6 https://t.co/qcmghchcry"""
285,"b""@nicolosoboco hey nick,  sorry for your long wait, i hope you're keeping well. we do see this happen often it's nor\xe2\x80\xa6 https://t.co/jtq7xb4gfz"""
286,"b'@hinterneticus hi there, i can see you have also sent us a dm, and we have got back to you there. \n\nchristie'"
287,"b""@stacebull i am sorry to hear you've not been able to get through to anyone still, stacey. pop over to dm to let me\xe2\x80\xa6 https://t.co/iil4hhhwnx"""
288,"b""@iantildesley hi ian, sorry for the delay in my reply.  the team are really busy and it's not uncommon at the momen\xe2\x80\xa6 https://t.co/zkqxjvzrbs"""
289,"b""@sanzidaa8 i'd like to help get you in the right direction for this. is this payment going to a company you have ha\xe2\x80\xa6 https://t.co/ivyzxvn2vz"""
290,"b""@randomjill hey jill,  sorry for your long wait, i hope you're keeping well. did you apply for a payment holiday at\xe2\x80\xa6 https://t.co/3w8jpahwxc"""
291,"b""@vin_mahi hi vin, sorry for the delay in my reply and for the wait to speak with us over the phone. i've responded to your dm. -kev"""
292,"b'@vin_mahi @hsbc @santander hi vin, sorry for the delay in my reply and for the wait to speak with us over the phone\xe2\x80\xa6 https://t.co/jrbbfuw0d0'"
293,"b""@mspill01 hey marie,  sorry for your long wait, i hope you're keeping well. have you been able to chat with the tea\xe2\x80\xa6 https://t.co/nt45etbrvv"""
294,"b'@tracieb16960935 ah right, we can log a non-receipt of refund. to save you waiting in a queue over the phone, this\xe2\x80\xa6 https://t.co/fm1dsmrrv1'"
295,"b""@jonathanpgoode ah i'm glad to hear this :) give me a shout if you need anything else. stay safe and take care! cody"""
296,"b""@macgregordude hey chris,  sorry for your long wait, i hope you're keeping well. can you let me know if you've been\xe2\x80\xa6 https://t.co/ocdktmi4u1"""
297,"b""@bhavna68681162 hey sefia,  sorry for your long wait, i hope you're keeping well. have you been able to get in touc\xe2\x80\xa6 https://t.co/aomwa20mff"""
298,"b""@jennyly1986 that's fine jenny. \n\nbrendan"""
299,b'@rossmcg91 thanks for the understanding and for bearing with us ross. let me know if you have any other questions.\xe2\x80\xa6 https://t.co/lwmcpyn4v8'
300,"b""@colloghi hey collogi, sorry for your long wait, i hope you're keeping well. can you tell me exactly what is happen\xe2\x80\xa6 https://t.co/1elnbysnt8"""
301,"b""@davecarlbrown you're welcome; drop us a message if you need anything else. stay safe and take care :) cody"""
302,"b""@wdonna91 hi donna. sorry,  i'm not able to do that for you here i'm afraid. there are other ways to pay such as pa\xe2\x80\xa6 https://t.co/u7gw9rswam"""
